lat,lon,date,hour,total_count,occupied_count,occupancy_rate
-37.82047607788187,144.95467759457046,2025-04-14,2,1,1,1.0
-37.82044961672015,144.94607732811323,2025-08-03,7,1,0,0.0
-37.82044900242458,144.9511568011041,2025-06-17,13,1,0,0.0
-37.82044371041454,144.94552089254,2025-08-03,11,1,0,0.0
-37.820440265054934,144.95578692174678,2025-08-03,11,1,1,1.0
-37.82043238422226,144.94718061053305,2024-12-14,8,1,0,0.0
-37.820423666254094,144.95465361283914,2025-04-14,2,1,0,0.0
-37.8204210749276,144.94208717425943,2025-08-03,3,1,1,1.0
-37.82042089670753,144.94542033515108,2025-08-03,9,1,0,0.0
-37.820413468220664,144.9440488762877,2025-08-02,11,1,1,1.0
-37.820395686077376,144.94448619160318,2025-08-03,7,1,0,0.0
-37.82038907970143,144.94219820945807,2025-08-03,9,1,0,0.0
-37.82038876842533,144.94606127507134,2025-08-03,7,1,0,0.0
-37.820384813996924,144.93992958225567,2025-08-03,6,1,1,1.0
-37.82038273315523,144.9511045668553,2025-06-17,12,1,0,0.0
-37.820375347961914,144.94550297445886,2025-08-03,7,1,0,0.0
-37.820374347634115,144.94934064329863,2024-12-25,5,1,0,0.0
-37.82037346768652,144.95463055373497,2025-04-14,2,1,1,1.0
-37.82037098839134,144.94457607720415,2025-08-03,9,1,1,1.0
-37.820369910975984,144.9416538788944,2024-08-08,9,1,0,0.0
-37.8203696967754,144.94226546963995,2025-08-03,12,1,1,1.0
-37.82036816663482,144.93985984418407,2025-08-02,14,1,0,0.0
-37.820362474961634,144.94402627094496,2025-08-02,12,1,0,0.0
-37.82036084918549,144.94716161244844,2024-12-25,2,1,0,0.0
-37.820359190197685,144.9454039082782,2025-08-03,12,1,0,0.0
-37.82035588964801,144.9494046837532,2024-12-25,4,1,0,0.0
-37.82035031334955,144.94233273035633,2025-08-03,12,1,1,1.0
-37.82034974326481,144.94172038950103,2025-08-02,1,1,1,1.0
-37.82034636685942,144.94446289451076,2025-08-03,7,1,0,0.0
-37.82033820154115,144.94946605994318,2024-12-25,2,1,1,1.0
-37.82033122611111,144.94178443111818,2025-07-27,21,1,0,0.0
-37.82033093034448,144.94239998990412,2025-08-03,8,1,1,1.0
-37.820328984140914,144.93969599363925,2025-08-02,21,1,1,1.0
-37.82032788923816,144.94604541207383,2025-08-03,8,1,0,0.0
-37.82032671735453,144.95485898659769,2025-04-14,2,1,1,1.0
-37.820322263929086,144.9546071199171,2025-04-17,21,1,1,1.0
-37.820319177118286,144.94455379697746,2025-08-03,9,1,0,0.0
-37.82031223132367,144.93962605267149,2025-08-02,18,1,0,0.0
-37.820311621618714,144.9454862701186,2025-08-03,6,1,1,1.0
-37.82031154772048,144.9424672499739,2025-08-03,10,1,1,1.0
-37.82031147805616,144.94400366621178,2025-08-03,13,1,0,0.0
-37.8202975304902,144.9453872206468,2025-08-03,10,1,0,0.0
-37.8202956579312,144.93955682551837,2025-07-31,20,1,1,1.0
-37.82029216507679,144.94253451002305,2025-08-02,21,1,0,0.0
-37.82029196644229,144.93986386099408,2025-08-03,12,1,1,1.0
-37.82028919406282,144.94443776071222,2025-08-03,12,1,0,0.0
-37.82028732496598,144.95571666821013,2025-05-04,23,1,1,1.0
-37.820280977934516,144.95483806102732,2025-04-14,2,1,1,1.0
-37.820276040290736,144.94713077639028,2024-12-24,12,1,0,0.0
-37.82027324511611,144.94260016791185,2025-08-03,10,1,0,0.0
-37.82027020009988,144.95458322910955,2025-04-14,3,1,0,0.0
