location,weekday,hour,Present,unoccupied_rate
"-37.80315295405457, 144.9505316322474",Sunday,12,0.0,1.0
"-37.80315648178227, 144.95056431215517",Sunday,9,0.0,1.0
"-37.80316332871014, 144.95062779999432",Sunday,9,0.0,1.0
"-37.803167079390164, 144.95066099969833",Sunday,11,0.0,1.0
"-37.80317073786297, 144.95069360496595",Sunday,8,1.0,0.0
"-37.803174333344764, 144.9507256492118",Sunday,10,0.0,1.0
"-37.80317773907011, 144.95075600523893",Sunday,10,0.0,1.0
"-37.803180763794366, 144.95831256720936",Sunday,7,0.0,1.0
"-37.80318101888322, 144.95078523750246",Sunday,9,0.0,1.0
"-37.80318419260959, 144.95081336020553",Sunday,11,0.0,1.0
"-37.80319151675526, 144.94820900068024",Sunday,10,0.0,1.0
"-37.8032514892148, 144.9481982654575",Sunday,8,0.0,1.0
"-37.80329074425858, 144.95836336946644",Wednesday,9,0.0,1.0
"-37.80330779674274, 144.9481881584717",Sunday,11,0.0,1.0
"-37.8033414895023, 144.95838681632023",Sunday,3,0.0,1.0
"-37.803361893890624, 144.9481784758012",Sunday,11,0.0,1.0
"-37.803392245198836, 144.95841026319147",Wednesday,4,0.0,1.0
"-37.80346909216924, 144.9511742480658",Sunday,10,0.0,1.0
"-37.80351432211624, 144.951166201685",Sunday,12,0.0,1.0
"-37.80355520593249, 144.94943939339282",Sunday,13,0.0,1.0
"-37.8035841184862, 144.95091824334895",Thursday,14,1.0,0.0
"-37.803609638540756, 144.9494297650245",Sunday,12,0.0,1.0
"-37.80363146104051, 144.9496171860684",Sunday,9,0.0,1.0
"-37.80363537326759, 144.95090948550364",Friday,3,1.0,0.0
"-37.80366437740204, 144.94942015108126",Saturday,23,0.0,1.0
"-37.803684670588936, 144.94960779284747",Sunday,11,0.0,1.0
"-37.803689182408135, 144.95090037507902",Sunday,6,1.0,0.0
"-37.803720972893885, 144.94941015492924",Saturday,19,0.0,1.0
"-37.80374279657992, 144.95089124300307",Sunday,13,1.0,0.0
"-37.80375570795519, 144.9511235299858",Sunday,9,0.0,1.0
"-37.803775427031525, 144.94940056402066",Monday,22,1.0,0.0
"-37.803791316242936, 144.9495890004091",Sunday,10,0.0,1.0
"-37.80379669737577, 144.95088211182127",Sunday,10,0.0,1.0
"-37.803804528056936, 144.95111484451357",Friday,11,1.0,0.0
"-37.80382681301337, 144.94939150979235",Sunday,12,0.0,1.0
"-37.803844624328846, 144.9495796024437",Sunday,3,0.0,1.0
"-37.80387968936999, 144.94938219700055",Sunday,12,0.0,1.0
"-37.80389373311168, 144.95109910273732",Thursday,6,1.0,0.0
"-37.80389570705829, 144.94957060381063",Sunday,9,0.0,1.0
"-37.803932780008246, 144.9493728388618",Sunday,12,0.0,1.0
"-37.80393278352662, 144.95549470758004",Monday,4,1.0,0.0
"-37.80394774748606, 144.9495614301553",Sunday,9,0.0,1.0
"-37.803959541549816, 144.95548989784683",Thursday,20,0.0,1.0
"-37.80398540747849, 144.955485248439",Thursday,22,1.0,0.0
"-37.80398653905685, 144.94936336418544",Sunday,11,0.0,1.0
"-37.80400069082501, 144.94955209749105",Sunday,10,0.0,1.0
"-37.80401038133249, 144.95548075877602",Thursday,19,0.0,1.0
"-37.80402395233904, 144.95107610157768",Sunday,8,1.0,0.0
"-37.804040512827484, 144.9493538484536",Sunday,12,0.0,1.0
"-37.80405160418521, 144.9495431284868",Sunday,11,0.0,1.0
"-37.80406023380684, 144.9554717974239",Thursday,21,0.0,1.0
"-37.80408520855066, 144.95546730833104",Monday,3,1.0,0.0
"-37.80409427609854, 144.94934437180626",Sunday,10,0.0,1.0
"-37.804103389009754, 144.9495339978901",Sunday,12,0.0,1.0
"-37.80411018240322, 144.95546281864233",Thursday,6,1.0,0.0
"-37.804111742907224, 144.95106053645864",Saturday,9,1.0,0.0
"-37.804135156695956, 144.9554583295428",Monday,3,1.0,0.0
"-37.80414913953174, 144.95736889663925",Sunday,6,0.0,1.0
"-37.80415783494985, 144.94952440572973",Saturday,3,0.0,1.0
"-37.804160130998184, 144.95545384043996",Thursday,22,0.0,1.0
"-37.80416031637368, 144.95105185319318",Sunday,10,0.0,1.0
"-37.804185104859556, 144.9554493513089",Monday,3,0.0,1.0
"-37.804198188138, 144.95735992040204",Sunday,6,0.0,1.0
"-37.804209324676066, 144.95104331653448",Sunday,10,0.0,1.0
"-37.804210079151204, 144.9554448621994",Monday,1,1.0,0.0
"-37.80423505345237, 144.95544037250653",Thursday,20,0.0,1.0
"-37.80424624874155, 144.9493176273665",Sunday,11,0.0,1.0
"-37.804297991846894, 144.95102747862302",Thursday,7,1.0,0.0
"-37.8043469371667, 144.95101886482954",Sunday,10,0.0,1.0
"-37.8043506453774, 144.9492992339239",Sunday,12,0.0,1.0
"-37.80437914566575, 144.9574557180178",Sunday,9,0.0,1.0
"-37.80440066601682, 144.95100936574437",Sunday,11,1.0,0.0
"-37.80440415591219, 144.957451305452",Saturday,2,1.0,0.0
"-37.80440418481487, 144.94928979685488",Sunday,10,0.0,1.0
"-37.80441145284277, 144.94948034561548",Sunday,12,0.0,1.0
"-37.8044207325149, 144.95733414614818",Sunday,12,0.0,1.0
"-37.80443003223237, 144.95744673087017",Sunday,11,0.0,1.0
"-37.80444616422047, 144.95732965645493",Sunday,10,0.0,1.0
"-37.80445425492435, 144.95099990948202",Sunday,9,0.0,1.0
"-37.80445590676054, 144.95744215690206",Sunday,13,0.0,1.0
"-37.80446544036628, 144.94947086617978",Sunday,12,0.0,1.0
"-37.804471593223425, 144.95732516448777",Sunday,8,0.0,1.0
"-37.80448177590353, 144.95743758223875",Sunday,8,0.0,1.0
"-37.80449702219647, 144.95732067365248",Sunday,10,0.0,1.0
"-37.80450765133169, 144.95743300702912",Sunday,11,0.0,1.0
"-37.80450778218278, 144.95099046664828",Friday,7,1.0,0.0
"-37.80451636413345, 144.95896440445114",Sunday,4,0.0,1.0
"-37.80452046129158, 144.94946032867392",Sunday,12,0.0,1.0
"-37.80452245117901, 144.9573161816785",Sunday,6,0.0,1.0
"-37.80453352540836, 144.95742843296358",Sunday,11,0.0,1.0
"-37.8045478801612, 144.95731168970116",Sunday,10,0.0,1.0
"-37.80455937658455, 144.9574238589194",Sunday,8,0.0,1.0
"-37.80456142547732, 144.95098101958465",Tuesday,5,1.0,0.0
"-37.80457312730523, 144.95899052123454",Wednesday,0,1.0,0.0
"-37.804573308682805, 144.95730719828805",Sunday,6,0.0,1.0
"-37.8045765656706, 144.94945043899418",Sunday,12,0.0,1.0
"-37.80458527536205, 144.95741928765096",Sunday,10,1.0,0.0
"-37.80459873766425, 144.95730270689631",Sunday,22,1.0,0.0
"-37.80461115168945, 144.9574147083638",Sunday,12,0.0,1.0
"-37.80461509913868, 144.95097154625108",Sunday,7,1.0,0.0
"-37.804624166194984, 144.95729821547644",Sunday,10,1.0,0.0
"-37.804636610345014, 144.94943973121786",Sunday,11,0.0,1.0
"-37.80463702801647, 144.9574101343463",Sunday,10,0.0,1.0
"-37.80464959517572, 144.95729372405316",Wednesday,7,1.0,0.0
"-37.804653929416006, 144.94924754974852",Sunday,12,0.0,1.0
"-37.8046623351441, 144.96173669002383",Tuesday,13,0.0,1.0
"-37.80466290206173, 144.9574055586596",Sunday,10,0.0,1.0
"-37.804668600290526, 144.95096207810545",Sunday,12,1.0,0.0
"-37.80467502417579, 144.9572892331941",Saturday,8,1.0,0.0
"-37.80467526890163, 144.9598100707709",Thursday,23,1.0,0.0
"-37.804687036086804, 144.96173229281166",Tuesday,13,0.0,1.0
"-37.80468876939039, 144.95740098398056",Sunday,9,1.0,0.0
"-37.80470045315579, 144.9572847434669",Sunday,8,1.0,0.0
"-37.80470817912803, 144.94923768660107",Sunday,12,0.0,1.0
"-37.804714647547314, 144.95739641052012",Friday,1,1.0,0.0
"-37.80471780523308, 144.9509534359205",Thursday,8,1.0,0.0
"-37.8047258821453, 144.9572802514658",Sunday,9,0.0,1.0
"-37.80472860023576, 144.95983457919806",Friday,1,0.0,1.0
"-37.80474052112139, 144.95739183635203",Sunday,11,0.0,1.0
"-37.804743069707, 144.9590686672812",Saturday,4,0.0,1.0
"-37.804751311124576, 144.95727575889364",Saturday,5,0.0,1.0
"-37.80476492224104, 144.96171853872244",Tuesday,9,1.0,0.0
"-37.80476639659502, 144.95738725944153",Sunday,10,0.0,1.0
"-37.804776740083824, 144.95727126858864",Sunday,6,1.0,0.0
"-37.8047825506759, 144.959859492751",Thursday,23,1.0,0.0
"-37.804791726138646, 144.95909104692146",Wednesday,0,0.0,1.0
"-37.804792270217575, 144.95738268699415",Sunday,11,0.0,1.0
"-37.80480216953245, 144.95726677599734",Sunday,10,1.0,0.0
"-37.80481724676879, 144.95737826911414",Sunday,7,0.0,1.0
"-37.804827598941316, 144.95726228510551",Sunday,10,0.0,1.0
"-37.80482983959025, 144.96159036988695",Sunday,22,1.0,0.0
"-37.80483438857518, 144.95988325071232",Thursday,22,1.0,0.0
"-37.8048401024667, 144.961705342315",Wednesday,5,0.0,1.0
"-37.804842508920245, 144.95911440077234",Wednesday,0,1.0,0.0
"-37.80485302791918, 144.95725779308742",Sunday,11,0.0,1.0
"-37.8048613248529, 144.96182089619322",Thursday,0,1.0,0.0
"-37.80487724273593, 144.95092402466457",Sunday,9,1.0,0.0
"-37.80487845643643, 144.95725330001758",Sunday,1,1.0,0.0
"-37.804882030660224, 144.95736681754914",Sunday,11,1.0,0.0
"-37.80488630509279, 144.9599071396808",Thursday,23,1.0,0.0
"-37.804888632324605, 144.95861698154164",Wednesday,0,0.0,1.0
"-37.80489329212841, 144.9591379098078",Wednesday,0,1.0,0.0
"-37.804903882241234, 144.95724880963354",Tuesday,14,0.0,1.0
"-37.804906473454636, 144.95736249449726",Saturday,7,1.0,0.0
"-37.80492798408554, 144.9509150266006",Thursday,23,1.0,0.0
"-37.80492931393994, 144.95724431874055",Friday,13,1.0,0.0
"-37.80493178364415, 144.95735802135704",Saturday,7,1.0,0.0
"-37.80493584201834, 144.9599299457858",Thursday,21,1.0,0.0
"-37.80493703528678, 144.9615714574154",Sunday,22,0.0,1.0
"-37.80493940709657, 144.95864036316067",Wednesday,4,0.0,1.0
"-37.80494402936792, 144.95916129121264",Sunday,8,0.0,1.0
"-37.80494406642042, 144.95978034301152",Thursday,22,1.0,0.0
"-37.804954659214715, 144.9484591379828",Sunday,10,0.0,1.0
"-37.804957821300455, 144.94848724174722",Sunday,13,0.0,1.0
"-37.804961001384484, 144.94851534910026",Sunday,12,0.0,1.0
"-37.80496415494934, 144.94854345814642",Sunday,10,0.0,1.0
"-37.80496880297507, 144.9485850569049",Sunday,11,0.0,1.0
"-37.80497194170077, 144.94861316805952",Sunday,10,1.0,0.0
"-37.8049750808603, 144.94864127922932",Sunday,13,0.0,1.0
"-37.804978220013204, 144.9486693904018",Sunday,13,1.0,0.0
"-37.80497906772746, 144.95090601029813",Sunday,2,1.0,0.0
